Uniprot ID,Protein Name,Gene Name,Function
P08709,Coagulation factor VII,F7,"Initiates the extrinsic pathway of blood coagulation. Serine protease that circulates in the blood in a zymogen form. Factor VII is converted to factor VIIa by factor Xa, factor XIIa, factor IXa, or thrombin by minor proteolysis. In the presence of tissue factor and calcium ions, factor VIIa then converts factor X to factor Xa by limited proteolysis. Factor VIIa will also convert factor IX to factor IXa in the presence of tissue factor and calcium."
P10721,Mast/stem cell growth factor receptor Kit,KIT,"Tyrosine-protein kinase that acts as cell-surface receptor for the cytokine KITLG/SCF and plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis. In response to KITLG/SCF binding, KIT can activate several signaling pathways. Phosphorylates PIK3R1, PLCG1, SH2B2/APS and CBL. Activates the AKT1 signaling pathway by phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase. Activated KIT also transmits signals via GRB2 and activation of RAS, RAF1 and the MAP kinases MAPK1/ERK2 and/or MAPK3/ERK1. Promotes activation of STAT family members STAT1, STAT3, STAT5A and STAT5B. Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate. KIT signaling is modulated by protein phosphatases, and by rapid internalization and degradation of the receptor. Activated KIT promotes phosphorylation of the protein phosphatases PTPN6/SHP-1 and PTPRU, and of the transcription factors STAT1, STAT3, STAT5A and STAT5B. Promotes phosphorylation of PIK3R1, CBL, CRK (isoform Crk-II), LYN, MAPK1/ERK2 and/or MAPK3/ERK1, PLCG1, SRC and SHC1.10 Publications"
P11215,Integrin alpha-M,ITGAM,"Integrin ITGAM/ITGB2 is implicated in various adhesive interactions of monocytes, macrophages and granulocytes as well as in mediating the uptake of complement-coated particles and pathogens (PubMed:9558116, PubMed:20008295). It is identical with CR-3, the receptor for the iC3b fragment of the third complement component. It probably recognizes the R-G-D peptide in C3b. Integrin ITGAM/ITGB2 is also a receptor for fibrinogen, factor X and ICAM1. It recognizes P1 and P2 peptides of fibrinogen gamma chain. Regulates neutrophil migration (PubMed:28807980). In association with beta subunit ITGB2/CD18, required for CD177-PRTN3-mediated activation of TNF primed neutrophils (PubMed:21193407). May regulate phagocytosis-induced apoptosis in extravasated neutrophils (By similarity). May play a role in mast cell development (By similarity). Required with TYROBP/DAP12 in microglia to control production of microglial superoxide ions which promote the neuronal apoptosis that occurs during brain development (By similarity).By similarity"
P11226,Mannose-binding protein C,MBL2,"Calcium-dependent lectin involved in innate immune defense. Binds mannose, fucose and N-acetylglucosamine on different microorganisms and activates the lectin complement pathway. Binds to late apoptotic cells, as well as to apoptotic blebs and to necrotic cells, but not to early apoptotic cells, facilitating their uptake by macrophages. May bind DNA.1 Publication"
P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,Binds to the Fc region of immunoglobulins gamma. Low affinity receptor. By binding to IgG it initiates cellular responses against pathogens and soluble antigens. Promotes phagocytosis of opsonized antigens.1 Publication
P12830,Cadherin-1,CDH1,"Cadherins are calcium-dependent cell adhesion proteins (PubMed:11976333). They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. CDH1 is involved in mechanisms regulating cell-cell adhesions, mobility and proliferation of epithelial cells (PubMed:11976333). Has a potent invasive suppressor role. It is a ligand for integrin alpha-E/beta-7.2 Publications"
P13501,C-C motif chemokine 5,CCL5,"Chemoattractant for blood monocytes, memory T-helper cells and eosinophils. Causes the release of histamine from basophils and activates eosinophils. May activate several chemokine receptors including CCR1, CCR3, CCR4 and CCR5. One of the major HIV-suppressive factors produced by CD8+ T-cells. Recombinant RANTES protein induces a dose-dependent inhibition of different strains of HIV-1, HIV-2, and simian immunodeficiency virus (SIV). The processed form RANTES(3-68) acts as a natural chemotaxis inhibitor and is a more potent inhibitor of HIV-1-infection. The second processed form RANTES(4-68) exhibits reduced chemotactic and HIV-suppressive activity compared with RANTES(1-68) and RANTES(3-68) and is generated by an unidentified enzyme associated with monocytes and neutrophils (PubMed:16791620, PubMed:1380064, PubMed:8525373, PubMed:9516414, PubMed:15923218). May also be an agonist of the G protein-coupled receptor GPR75, stimulating inositol trisphosphate production and calcium mobilization through its activation. Together with GPR75, may play a role in neuron survival through activation of a downstream signaling pathway involving the PI3, Akt and MAP kinases. By activating GPR75 may also play a role in insulin secretion by islet cells (PubMed:23979485).7 Publications"
P13591,Neural cell adhesion molecule 1,NCAM1,"This protein is a cell adhesion molecule involved in neuron-neuron adhesion, neurite fasciculation, outgrowth of neurites, etc."
P13987,CD59 glycoprotein,CD59,"Potent inhibitor of the complement membrane attack complex (MAC) action. Acts by binding to the C8 and/or C9 complements of the assembling MAC, thereby preventing incorporation of the multiple copies of C9 required for complete formation of the osmolytic pore. This inhibitor appears to be species-specific. Involved in signal transduction for T-cell activation complexed to a protein tyrosine kinase."
P14151,L-selectin,SELL,"Calcium-dependent lectin that mediates cell adhesion by binding to glycoproteins on neighboring cells (PubMed:12403782, PubMed:28489325, PubMed:28011641). Mediates the adherence of lymphocytes to endothelial cells of high endothelial venules in peripheral lymph nodes. Promotes initial tethering and rolling of leukocytes in endothelia (PubMed:12403782, PubMed:28011641).1 Publication"
P14543,Nidogen-1,NID1,Sulfated glycoprotein widely distributed in basement membranes and tightly associated with laminin. Also binds to collagen IV and perlecan. It probably has a role in cell-extracellular matrix interactions.
P15529,Membrane cofactor protein,CD46,"Acts as a cofactor for complement factor I, a serine protease which protects autologous cells against complement-mediated injury by cleaving C3b and C4b deposited on host tissue. May be involved in the fusion of the spermatozoa with the oocyte during fertilization. Also acts as a costimulatory factor for T-cells which induces the differentiation of CD4+ into T-regulatory 1 cells. T-regulatory 1 cells suppress immune responses by secreting interleukin-10, and therefore are thought to prevent autoimmunity.2 Publications"
P15907,"Beta-galactoside alpha-2,6-sialyltransferase 1",ST6GAL1,Transfers sialic acid from CMP-sialic acid to galactose-containing acceptor substrates.2 Publications
P16871,Interleukin-7 receptor subunit alpha,IL7R,Receptor for interleukin-7. Also acts as a receptor for thymic stromal lymphopoietin (TSLP).
P17813,Endoglin,ENG,"Vascular endothelium glycoprotein that plays an important role in the regulation of angiogenesis (PubMed:21737454, PubMed:23300529). Required for normal structure and integrity of adult vasculature (PubMed:7894484). Regulates the migration of vascular endothelial cells (PubMed:17540773). Required for normal extraembryonic angiogenesis and for embryonic heart development (By similarity). May regulate endothelial cell shape changes in response to blood flow, which drive vascular remodeling and establishment of normal vascular morphology during angiogenesis (By similarity). May play a critical role in the binding of endothelial cells to integrins and/or other RGD receptors (PubMed:1692830). Acts as TGF-beta coreceptor and is involved in the TGF-beta/BMP signaling cascade that ultimately leads to the activation of SMAD transcription factors (PubMed:8370410, PubMed:21737454, PubMed:22347366, PubMed:23300529). Required for GDF2/BMP9 signaling through SMAD1 in endothelial cells and modulates TGFB1 signaling through SMAD3 (PubMed:21737454, PubMed:22347366, PubMed:23300529).By similarity"
P17936,Insulin-like growth factor-binding protein 3,IGFBP3,IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors. Also exhibits IGF-independent antiproliferative and apoptotic effects mediated by its receptor TMEM219/IGFBP-3R.1 Publication
P19021,Peptidyl-glycine alpha-amidating monooxygenase,PAM,"Bifunctional enzyme that catalyzes the post-translational modification of inactive peptidylglycine precursors to the corresponding bioactive alpha-amidated peptides, a terminal modification in biosynthesis of many neural and endocrine peptides (PubMed:12699694). Alpha-amidation involves two sequential reactions, both of which are catalyzed by separate catalytic domains of the enzyme. The first step, catalyzed by peptidyl alpha-hydroxylating monoxygenase (PHM) domain, is the copper-, ascorbate-, and O2- dependent stereospecific hydroxylation (with S stereochemistry) at the alpha-carbon (C-alpha) of the C-terminal glycine of the peptidylglycine substrate (PubMed:12699694). The second step, catalyzed by the peptidylglycine amidoglycolate lyase (PAL) domain, is the zinc-dependent cleavage of the N-C-alpha bond, producing the alpha-amidated peptide and glyoxylate (PubMed:12699694). Similarly, catalyzes the two-step conversion of an N-fatty acylglycine to a primary fatty acid amide and glyoxylate (By similarity).By similarity"
P19320,Vascular cell adhesion protein 1,VCAM1,"Important in cell-cell recognition. Appears to function in leukocyte-endothelial cell adhesion. Interacts with integrin alpha-4/beta-1 (ITGA4/ITGB1) on leukocytes, and mediates both adhesion and signal transduction. The VCAM1/ITGA4/ITGB1 interaction may play a pathophysiologic role both in immune responses and in leukocyte emigration to sites of inflammation."
P20023,Complement receptor type 2,CR2,"Receptor for complement C3, for the Epstein-Barr virus on human B-cells and T-cells and for HNRNPU (PubMed:7753047). Participates in B lymphocytes activation (PubMed:7753047).1 Publication"
P20062,Transcobalamin-2,TCN2,Primary vitamin B12-binding and transport protein. Delivers cobalamin to cells.1 Publication
P22105,Tenascin-X,TNXB,Appears to mediate interactions between cells and the extracellular matrix. Substrate-adhesion molecule that appears to inhibit cell migration. Accelerates collagen fibril formation. May play a role in supporting the growth of epithelial tumors.1 Publication
P22748,Carbonic anhydrase 4,CA4,"Reversible hydration of carbon dioxide. May stimulate the sodium/bicarbonate transporter activity of SLC4A4 that acts in pH homeostasis. It is essential for acid overload removal from the retina and retina epithelium, and acid release in the choriocapillaris in the choroid.1 Publication"
P22749,Granulysin,GNLY,"Antimicrobial protein that kills intracellular pathogens. Active against a broad range of microbes, including Gram-positive and Gram-negative bacteria, fungi, and parasites. Kills Mycobacterium tuberculosis."
P23141,Liver carboxylesterase 1,CES1,"Involved in the detoxification of xenobiotics and in the activation of ester and amide prodrugs. Hydrolyzes aromatic and aliphatic esters, but has no catalytic activity toward amides or a fatty acyl-CoA ester. Hydrolyzes the methyl ester group of cocaine to form benzoylecgonine. Catalyzes the transesterification of cocaine to form cocaethylene. Displays fatty acid ethyl ester synthase activity, catalyzing the ethyl esterification of oleic acid to ethyloleate. Converts monoacylglycerides to free fatty acids and glycerol. Hydrolyzes of 2-arachidonoylglycerol and prostaglandins (PubMed:21049984).4 Publications"
P24592,Insulin-like growth factor-binding protein 6,IGFBP6,IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors.
P24821,Tenascin,TNC,"Extracellular matrix protein implicated in guidance of migrating neurons as well as axons during development, synaptic plasticity as well as neuronal regeneration. Promotes neurite outgrowth from cortical neurons grown on a monolayer of astrocytes. Ligand for integrins alpha-8/beta-1, alpha-9/beta-1, alpha-V/beta-3 and alpha-V/beta-6. In tumors, stimulates angiogenesis by elongation, migration and sprouting of endothelial cells (PubMed:19884327).1 Publication"
P27487,Dipeptidyl peptidase 4,DPP4,"Cell surface glycoprotein receptor involved in the costimulatory signal essential for T-cell receptor (TCR)-mediated T-cell activation. Acts as a positive regulator of T-cell coactivation, by binding at least ADA, CAV1, IGF2R, and PTPRC. Its binding to CAV1 and CARD11 induces T-cell proliferation and NF-kappa-B activation in a T-cell receptor/CD3-dependent manner. Its interaction with ADA also regulates lymphocyte-epithelial cell adhesion. In association with FAP is involved in the pericellular proteolysis of the extracellular matrix (ECM), the migration and invasion of endothelial cells into the ECM. May be involved in the promotion of lymphatic endothelial cells adhesion, migration and tube formation. When overexpressed, enhanced cell proliferation, a process inhibited by GPC3. Acts also as a serine exopeptidase with a dipeptidyl peptidase activity that regulates various physiological processes by cleaving peptides in the circulation, including many chemokines, mitogenic growth factors, neuropeptides and peptide hormones. Removes N-terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline.10 Publications"
P32942,Intercellular adhesion molecule 3,ICAM3,"ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2) (PubMed:1448173). ICAM3 is also a ligand for integrin alpha-D/beta-2. In association with integrin alpha-L/beta-2, contributes to apoptotic neutrophil phagocytosis by macrophages (PubMed:23775590).2 Publications"
P35443,Thrombospondin-4,THBS4,"Adhesive glycoprotein that mediates cell-to-cell and cell-to-matrix interactions and is involved in various processes including cellular proliferation, migration, adhesion and attachment, inflammatory response to CNS injury, regulation of vascular inflammation and adaptive responses of the heart to pressure overload and in myocardial function and remodeling. Binds to structural extracellular matrix (ECM) proteins and modulates the ECM in response to tissue damage, contributing to cardioprotective and adaptive ECM remodeling. Plays a role in ER stress response, via its interaction with the activating transcription factor 6 alpha (ATF6) which produces adaptive ER stress response factors and protects myocardium from pressure overload. May contribute to spinal presynaptic hypersensitivity and neuropathic pain states after peripheral nerve injury. May play a role in regulating protective astrogenesis from the subventricular zone (SVZ) niche after injury in a NOTCH1-dependent manner (By similarity).By similarity1 Publication"
P35542,Serum amyloid A-4 protein,SAA4,Major acute phase reactant.By similarity
P35590,Tyrosine-protein kinase receptor Tie-1,TIE1,Transmembrane tyrosine-protein kinase that may modulate TEK/TIE2 activity and contribute to the regulation of angiogenesis.1 Publication
P39060,Collagen alpha-1(XVIII) chain,COL18A1,Probably plays a major role in determining the retinal structure as well as in the closure of the neural tube.1 Publication
P42785,Lysosomal Pro-X carboxypeptidase,PRCP,"Cleaves C-terminal amino acids linked to proline in peptides such as angiotensin II, III and des-Arg9-bradykinin. This cleavage occurs at acidic pH, but enzymatic activity is retained with some substrates at neutral pH."
P46531,Neurogenic locus notch homolog protein 1,NOTCH1,"Functions as a receptor for membrane-bound ligands Jagged-1 (JAG1), Jagged-2 (JAG2) and Delta-1 (DLL1) to regulate cell-fate determination. Upon ligand activation through the released notch intracellular domain (NICD) it forms a transcriptional activator complex with RBPJ/RBPSUH and activates genes of the enhancer of split locus. Affects the implementation of differentiation, proliferation and apoptotic programs. Involved in angiogenesis; negatively regulates endothelial cell proliferation and migration and angiogenic sprouting. Involved in the maturation of both CD4+ and CD8+ cells in the thymus. Important for follicular differentiation and possibly cell fate selection within the follicle. During cerebellar development, functions as a receptor for neuronal DNER and is involved in the differentiation of Bergmann glia. Represses neuronal and myogenic differentiation. May play an essential role in postimplantation development, probably in some aspect of cell specification and/or differentiation. May be involved in mesoderm development, somite formation and neurogenesis. May enhance HIF1A function by sequestering HIF1AN away from HIF1A. Required for the THBS4 function in regulating protective astrogenesis from the subventricular zone (SVZ) niche after injury. Involved in determination of left/right symmetry by modulating the balance between motile and immotile (sensory) cilia at the left-right organiser (LRO).1 Publication"
P49747,Cartilage oligomeric matrix protein,COMP,"May play a role in the structural integrity of cartilage via its interaction with other extracellular matrix proteins such as the collagens and fibronectin. Can mediate the interaction of chondrocytes with the cartilage extracellular matrix through interaction with cell surface integrin receptors. Could play a role in the pathogenesis of osteoarthritis. Potent suppressor of apoptosis in both primary chondrocytes and transformed cells. Suppresses apoptosis by blocking the activation of caspase-3 and by inducing the IAP family of survival proteins (BIRC3, BIRC2, BIRC5 and XIAP). Essential for maintaining a vascular smooth muscle cells (VSMCs) contractile/differentiated phenotype under physiological and pathological stimuli. Maintains this phenotype of VSMCs by interacting with ITGA7 (By similarity).By similarity3 Publications"
P55058,Phospholipid transfer protein,PLTP,"Mediates the transfer of phospholipids and free cholesterol from triglyceride-rich lipoproteins (low density lipoproteins or LDL and very low density lipoproteins or VLDL) into high-density lipoproteins (HDL) as well as the exchange of phospholipids between triglyceride-rich lipoproteins themselves (PubMed:7654777, PubMed:9132017, PubMed:11013307, PubMed:19321130, PubMed:21515415, PubMed:29883800). Facilitates the transfer of a spectrum of different lipid molecules, including diacylglycerol, phosphatidic acid, sphingomyelin, phosphatidylcholine, phosphatidylinositol, phosphatidylglycerol, cerebroside and phosphatidyl ethanolamine (PubMed:9132017). Plays an important role in HDL remodeling which involves modulating the size and composition of HDL (PubMed:29883800). Also plays a key role in the uptake of cholesterol from peripheral cells and tissues that is subsequently transported to the liver for degradation and excretion (PubMed:21736953). Two distinct forms of PLTP exist in plasma: an active form that can transfer phosphatidylcholine from phospholipid vesicles to HDL, and an inactive form that lacks this capability (PubMed:11013307).1 Publication"
P55774,C-C motif chemokine 18,CCL18,"Chemotactic factor that attracts lymphocytes but not monocytes or granulocytes. May be involved in B-cell migration into B-cell follicles in lymph nodes. Attracts naive T-lymphocytes toward dendritic cells and activated macrophages in lymph nodes, has chemotactic activity for naive T-cells, CD4+ and CD8+ T-cells and thus may play a role in both humoral and cell-mediated immunity responses.2 Publications"
P59665,Neutrophil defensin 1,DEFA1,"Defensin 1 and defensin 2 have antibacterial, fungicide and antiviral activities. Has antimicrobial activity against Gram-negative and Gram-positive bacteria. Defensins are thought to kill microbes by permeabilizing their plasma membrane.2 Publications"
P80188,Neutrophil gelatinase-associated lipocalin,LCN2,"Iron-trafficking protein involved in multiple processes such as apoptosis, innate immunity and renal development (PubMed:12453413, PubMed:27780864, PubMed:20581821). Binds iron through association with 2,5-dihydroxybenzoic acid (2,5-DHBA), a siderophore that shares structural similarities with bacterial enterobactin, and delivers or removes iron from the cell, depending on the context. Iron-bound form (holo-24p3) is internalized following binding to the SLC22A17 (24p3R) receptor, leading to release of iron and subsequent increase of intracellular iron concentration. In contrast, association of the iron-free form (apo-24p3) with the SLC22A17 (24p3R) receptor is followed by association with an intracellular siderophore, iron chelation and iron transfer to the extracellular medium, thereby reducing intracellular iron concentration. Involved in apoptosis due to interleukin-3 (IL3) deprivation: iron-loaded form increases intracellular iron concentration without promoting apoptosis, while iron-free form decreases intracellular iron levels, inducing expression of the proapoptotic protein BCL2L11/BIM, resulting in apoptosis (By similarity). Involved in innate immunity; limits bacterial proliferation by sequestering iron bound to microbial siderophores, such as enterobactin (PubMed:27780864). Can also bind siderophores from M.tuberculosis (PubMed:15642259, PubMed:21978368).By similarity"
Q03167,Transforming growth factor beta receptor type 3,TGFBR3,Binds to TGF-beta. Could be involved in capturing and retaining TGF-beta for presentation to the signaling receptors.
Q06141,Regenerating islet-derived protein 3-alpha,REG3A,Bactericidal C-type lectin which acts exclusively against Gram-positive bacteria and mediates bacterial killing by binding to surface-exposed carbohydrate moieties of peptidoglycan. Regulates keratinocyte proliferation and differentiation after skin injury via activation of EXTL3-PI3K-AKT signaling pathway.1 Publication
Q12805,EGF-containing fibulin-like extracellular matrix protein 1,EFEMP1,"Binds EGFR, the EGF receptor, inducing EGFR autophosphorylation and the activation of downstream signaling pathways. May play a role in cell adhesion and migration. May function as a negative regulator of chondrocyte differentiation. In the olfactory epithelium, it may regulate glial cell migration, differentiation and the ability of glial cells to support neuronal neurite outgrowth.3 Publications"
